date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:20	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%22025e14e12a8d01:0%22	https://daily.gate.vn/Skin/fonts/glyphicons-halflings-regular.eot?	E:/FPT/Template/Template/daily.gate.vn/Skin/fonts/glyphicons-halflings-regulard41d.eot	(from https://daily.gate.vn/Skin/css/bootstrap.min.css)
20:33:21	18028/18028	---M--	200	added ('OK')	application/x-font-woff	etag:%220d2e145cd74d11:0%22	https://daily.gate.vn/Skin/Fonts/fonts/glyphicons-halflings-regular.woff2	E:/FPT/Template/Template/daily.gate.vn/Skin/Fonts/fonts/glyphicons-halflings-regular.woff2	(from https://daily.gate.vn/Skin/css/bootstrap.min.css)
20:33:21	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%220d2e145cd74d11:0%22	https://daily.gate.vn/Skin/Fonts/fonts/glyphicons-halflings-regular.woff	E:/FPT/Template/Template/daily.gate.vn/Skin/Fonts/fonts/glyphicons-halflings-regular.woff	(from https://daily.gate.vn/Skin/css/bootstrap.min.css)
20:33:21	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%22025e14e12a8d01:0%22	https://daily.gate.vn/Skin/fonts/glyphicons-halflings-regular.ttf	E:/FPT/Template/Template/daily.gate.vn/Skin/fonts/glyphicons-halflings-regular.ttf	(from https://daily.gate.vn/Skin/css/bootstrap.min.css)
20:33:21	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Sep%202018%2013:33:21%20GMT	https://daily.gate.vn/Skin/fonts/glyphicons-halflings-regular.svg	E:/FPT/Template/Template/daily.gate.vn/Skin/fonts/glyphicons-halflings-regular.41.delayed	(from https://daily.gate.vn/Skin/css/bootstrap.min.css)
20:33:22	26721/26721	---M-Z	200	added ('OK')	text/css	etag:%229e207f6d693dd11:0%22	https://daily.gate.vn/Skin/fonts/css/font-awesome.min.css	E:/FPT/Template/Template/daily.gate.vn/Skin/fonts/css/font-awesome.min.css	(from https://daily.gate.vn/Skin/css/style.css)
20:33:22	6760/6760	---M--	200	added ('OK')	image/png	etag:%224c551d90b64dd11:0%22	https://daily.gate.vn/Skin/images/sprite-fixed-support.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/sprite-fixed-support.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:22	3412/3412	---M--	200	added ('OK')	image/png	etag:%222696f0e6b2cd11:0%22	https://daily.gate.vn/Skin/images/sprite-account-info.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/sprite-account-info.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:23	5039/5039	---M--	200	added ('OK')	image/png	etag:%229db83984a1fd11:0%22	https://daily.gate.vn/Skin/images/sprite2.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/sprite2.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:23	417/417	---M--	200	added ('OK')	image/png	etag:%222e9c19febe3d11:0%22	https://daily.gate.vn/Skin/images/bill.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/bill.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:23	429/429	---M--	200	added ('OK')	image/png	etag:%224e4ba9febe3d11:0%22	https://daily.gate.vn/Skin/images/bill-white.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/bill-white.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:23	4505/4505	---M--	200	added ('OK')	image/png	etag:%22721264408c10d11:0%22	https://daily.gate.vn/Skin/images/sprite3.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/sprite3.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:24	324/324	---M--	200	added ('OK')	image/png	etag:%22c9da3f9ddcd11:0%22	https://daily.gate.vn/Skin/images/buy-cart.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/buy-cart.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:24	332/332	---M--	200	added ('OK')	image/png	etag:%221c17abf9ddcd11:0%22	https://daily.gate.vn/Skin/images/buy-cart-white.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/buy-cart-white.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:24	718/718	---M--	200	added ('OK')	image/png	etag:%22acd033b120eed11:0%22	https://daily.gate.vn/Skin/images/new-icon.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/new-icon.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:25	2812/2812	---M--	200	added ('OK')	image/png	etag:%22f14536af20eed11:0%22	https://daily.gate.vn/Skin/images/circle-bg.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/circle-bg.png	(from https://daily.gate.vn/Skin/css/style.css)
20:33:25	1209/1209	---M--	200	added ('OK')	image/png	etag:%22e8d3da1bccfd11:0%22	https://daily.gate.vn/Skin/images/icon-hint2.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon-hint2.png	(from https://daily.gate.vn/Skin/css/style.css)
